Store,RR State,Store Format,Store Name,City,Timing
2083,Andhra Pradesh,FRESH,Seethammadhara,VISAKHAPATNAM,9am-10pm
2086,Andhra Pradesh,FRESH,Marippalem,VISAKHAPATNAM,9am-10pm
2087,Andhra Pradesh,FRESH,MVP Colony,VISAKHAPATNAM,9am-10pm
2088,Andhra Pradesh,FRESH,Chinna Waltair,VISAKHAPATNAM,9am-10pm
2090,Andhra Pradesh,FRESH,Surya Raopet,VIJAYAWADA,9am-10pm
2091,Andhra Pradesh,FRESH,OneTown,VIJAYAWADA,9am-10pm
2094,Andhra Pradesh,FRESH,Arundelpet,GUNTUR,9am-10pm
2095,Andhra Pradesh,FRESH,Kothapet,GUNTUR,9am-10pm
2386,Andhra Pradesh,FRESH,Pedda Waltair,VISAKHAPATNAM,9am-10pm
2388,Andhra Pradesh,FRESH,Shantipuram,VISAKHAPATNAM,9am-10pm
2391,Andhra Pradesh,FRESH,Koritipadu,GUNTUR,9am-10pm
2393,Andhra Pradesh,FRESH,M G Road,VIJAYAWADA,9am-10pm
2835,Andhra Pradesh,FRESH,Gajuvaka,VISAKHAPATNAM,9am-10pm
6732,Andhra Pradesh,FRESH,Patamata,VIJAYAWADA,9am-10pm
2208,Gujarat,FRESH,OrnetArcade,AHMEDABAD,9am-10pm
2211,Gujarat,FRESH,Suruchi,AHMEDABAD,9am-10pm
2214,Gujarat,FRESH,Shalvik Avenue,AHMEDABAD,9am-10pm
2220,Gujarat,FRESH,SG mall,AHMEDABAD,9am-10pm
2225,Gujarat,FRESH,Sector-21,AHMEDABAD,9am-10pm
2226,Gujarat,FRESH,ScienceSquare,AHMEDABAD,9am-10pm
2404,Gujarat,FRESH,Onyx,AHMEDABAD,9am-10pm
2407,Gujarat,FRESH,Sangath Mall,AHMEDABAD,9am-10pm
2412,Gujarat,FRESH,Sarthi,VADODARA,9am-10pm
2774,Gujarat,FRESH,Parth Empire- Maninagar,AHMEDABAD,9am-10pm
2784,Gujarat,FRESH,Girikandra,VADODARA,9am-10pm
2816,Gujarat,FRESH,Shyam Shikar,AHMEDABAD,9am-10pm
2848,Gujarat,FRESH,KshitijNavrangpura,AHMEDABAD,9am-10pm
2876,Gujarat,FRESH,Shahibaugh,AHMEDABAD,9am-10pm
3060,Gujarat,FRESH,Balaji Arcade,VADODARA,9am-10pm
3207,Gujarat,FRESH,HighStreet,AHMEDABAD,9am-10pm
2982,Haryana,FRESH,RF Panchkula - SCO-9,Panchkula,9am-10pm
2118,Jharkhand,FRESH,Bahu Bazar,RANCHI,9am-10pm
2120,Jharkhand,FRESH,RathodCircularRoad,RANCHI,9am-10pm
2121,Jharkhand,FRESH,VyasEnclave,RANCHI,9am-10pm
2299,Jharkhand,FRESH,Dimna-Akask Kalsi,JAMSHEDPUR,9am-10pm
2300,Jharkhand,FRESH,T.K Complex,JAMSHEDPUR,9am-10pm
2301,Jharkhand,FRESH,Nalanda Shakti,JAMSHEDPUR,9am-10pm
2302,Jharkhand,FRESH,Seagull Appartment,JAMSHEDPUR,9am-10pm
2303,Jharkhand,FRESH,Panch Renu Appt,JAMSHEDPUR,9am-10pm
2445,Jharkhand,FRESH,Hinoo,RANCHI,9am-10pm
2602,Jharkhand,FRESH,Adityapur,JAMSHEDPUR,9am-10pm
2727,Jharkhand,FRESH,PrasadMotors,RANCHI,9am-10pm
2812,Jharkhand,FRESH,Booty More,RANCHI,9am-10pm
2947,Jharkhand,FRESH,RRF Kadma,JAMSHEDPUR,9am-10pm
2948,Jharkhand,FRESH,RF Eklavya Tower,RANCHI,9am-10pm
2123,Karnataka,FRESH,FrazerTown,BANGALORE,9am-10pm
2126,Karnataka,FRESH,Srinivasa Nagar,BANGALORE,9am-10pm
2127,Karnataka,FRESH,Indiranagar (off CMH Rd.),BANGALORE,9am-10pm
2128,Karnataka,FRESH,Malleshwaram 8th,BANGALORE,9am-10pm
2130,Karnataka,FRESH,Modi Hospital,BANGALORE,9am-10pm
2133,Karnataka,FRESH,"Ideal Homes Society, RR Nagar",BANGALORE,9am-10pm
2134,Karnataka,FRESH,Mathikere,BANGALORE,9am-10pm
2135,Karnataka,FRESH,VidyaranyaPura,BANGALORE,9am-10pm
2136,Karnataka,FRESH,HennurMainRoad,BANGALORE,9am-10pm
2137,Karnataka,FRESH,Hesarghatta,BANGALORE,9am-10pm
2139,Karnataka,FRESH,Whitefield,BANGALORE,9am-10pm
2140,Karnataka,FRESH,Amurthalli,BANGALORE,9am-10pm
2141,Karnataka,FRESH,Vijaynagar Mutt,BANGALORE,9am-10pm
2142,Karnataka,FRESH,Cosmo club,BANGALORE,9am-10pm
2143,Karnataka,FRESH,Koramangala 8th Block (Opt II),BANGALORE,9am-10pm
2145,Karnataka,FRESH,South End Road,BANGALORE,9am-10pm
2146,Karnataka,FRESH,Nazarabad Mn Rd,MYSORE,9am-10pm
2506,Karnataka,FRESH,New Yelanka Town,BANGALORE,9am-10pm
2512,Karnataka,FRESH,Sanjay Nagar,BANGALORE,9am-10pm
2515,Karnataka,FRESH,Banaswadi,BANGALORE,9am-10pm
2523,Karnataka,FRESH,Court Circle,DHARWAD,9am-10pm
2524,Karnataka,FRESH,Keshwapur,HUBLI,9am-10pm
2528,Karnataka,FRESH,Kalidasa Road,MYSORE,9am-10pm
2530,Karnataka,FRESH,Kuvempu nagar,MYSORE,9am-10pm
2656,Karnataka,FRESH,BTMLayout,BANGALORE,9am-10pm
2657,Karnataka,FRESH,Kanakanagar,BANGALORE,9am-10pm
2794,Karnataka,FRESH,Saraki,BANGALORE,9am-10pm
2796,Karnataka,FRESH,Tambuchettipalya,BANGALORE,9am-10pm
2797,Karnataka,FRESH,Begur,BANGALORE,9am-10pm
2836,Karnataka,FRESH,New Tippasandra,BANGALORE,9am-10pm
2842,Karnataka,FRESH,B.Narayanpura,BANGALORE,9am-10pm
2850,Karnataka,FRESH,Bhuveneswahri Nagar,BANGALORE,9am-10pm
2851,Karnataka,FRESH,VersovaLayout,BANGALORE,9am-10pm
2852,Karnataka,FRESH,KonenkunteCross,BANGALORE,9am-10pm
2853,Karnataka,FRESH,Vijaynagar2nd,MYSORE,9am-10pm
2894,Karnataka,FRESH,Mallasandra,BANGALORE,9am-10pm
2896,Karnataka,FRESH,Nandini Layout,BANGALORE,9am-10pm
2897,Karnataka,FRESH,Thanisandra,BANGALORE,9am-10pm
2905,Karnataka,FRESH,Vinyas Manion,BANGALORE,9am-10pm
2906,Karnataka,FRESH,Mint Plaza,BANGALORE,9am-10pm
2910,Karnataka,FRESH,Sai Lake View - Nagarbhavi,BANGALORE,9am-10pm
2912,Karnataka,FRESH,"Moodal Palaya, Ambalaal Property",BANGALORE,9am-10pm
2914,Karnataka,FRESH,"Vinayaka Temple, Lingarajpuram",BANGALORE,9am-10pm
2915,Karnataka,FRESH,Shell Heighits,BANGALORE,9am-10pm
2923,Karnataka,FRESH,Star Plaza,MANDYA,9am-10pm
2924,Karnataka,FRESH,Vijaynagar Mysore,MYSORE,9am-10pm
2945,Karnataka,FRESH,"RF Ashiyana, Basaveshwarnagar",BANGALORE,9am-10pm
2958,Karnataka,FRESH,RF - Siddaganga Trust property,BANGALORE,9am-10pm
2990,Karnataka,FRESH,RF Brigade Orion,BANGALORE,9am-10pm
3014,Karnataka,FRESH,New BEL Road,BANGALORE,9am-10pm
3025,Karnataka,FRESH,SahakarNagar-02,BANGALORE,9am-10pm
3048,Karnataka,FRESH,AGS Layout,BANGALORE,9am-10pm
3051,Karnataka,FRESH,RPD,BELGAUM,9am-10pm
3052,Karnataka,FRESH,Deshpande Nagar,HUBLI,9am-10pm
3053,Karnataka,FRESH,Ulla Main Road,BANGALORE,9am-10pm
3055,Karnataka,FRESH,RELIANCE SUPER VALUE,BELGAUM,9am-10pm
3078,Karnataka,FRESH,Marathhalli,BANGALORE,9am-10pm
3080,Karnataka,FRESH,AyyappaTempleRoad,BANGALORE,9am-10pm
3086,Karnataka,FRESH,OmbrLayout,BANGALORE,9am-10pm
3099,Karnataka,FRESH,Parappan Agrahar,BANGALORE,9am-10pm
3196,Karnataka,FRESH,I Gate Global Solution Ltd.,BANGALORE,9am-10pm
3217,Karnataka,FRESH,Palace Guttahali,BANGALORE,9am-10pm
2306,Kerala,FRESH,Thoppumpaddy,KOCHI,9am-10pm
2307,Kerala,FRESH,Edappally,KOCHI,9am-10pm
2308,Kerala,FRESH,Elamakkara,KOCHI,9am-10pm
2309,Kerala,FRESH,Kalamassery,KOCHI,9am-10pm
2531,Kerala,FRESH,Beach Road,CALICUT,9am-10pm
2532,Kerala,FRESH,Meenchanda,CALICUT,9am-10pm
2536,Kerala,FRESH,Pottammel,CALICUT,9am-10pm
2538,Kerala,FRESH,"Girinagar,Kadavanthara",KOCHI,9am-10pm
2539,Kerala,FRESH,JawaharNagar,KOCHI,9am-10pm
2543,Kerala,FRESH,Vendormukku,KOLLAM,9am-10pm
2544,Kerala,FRESH,Chinnakada,KOLLAM,9am-10pm
2545,Kerala,FRESH,Kunamkulam,TRICHUR,9am-10pm
2546,Kerala,FRESH,"Paravoor,Opp H P petrol Pump",KOCHI,9am-10pm
2549,Kerala,FRESH,PATTOM,TRIVANDRUM,9am-10pm
2551,Kerala,FRESH,PEROORKADA,TRIVANDRUM,9am-10pm
2563,Kerala,FRESH,Chalakudy,TRICHUR,9am-10pm
2565,Kerala,FRESH,Irinjalakuda,TRICHUR,9am-10pm
2742,Kerala,FRESH,Kottiyam,KOLLAM,9am-10pm
2843,Kerala,FRESH,Kunnamangalam,CALICUT,9am-10pm
2893,Kerala,FRESH,Edappazhanji,TRIVANDRUM,9am-10pm
3020,Kerala,FRESH,Thodupuzha,KOCHI,9am-10pm
3063,Kerala,FRESH,Chullickal,KOCHI,9am-10pm
3064,Kerala,FRESH,Kothamangalam,KOCHI,9am-10pm
3215,Kerala,FRESH,Thamarassery,CALICUT,9am-10pm
2227,Madhya Pradesh,FRESH,BCM City,INDORE,9am-10pm
2230,Madhya Pradesh,FRESH,VikramSquare,INDORE,9am-10pm
2233,Madhya Pradesh,FRESH,ShekarPlanet,INDORE,9am-10pm
2237,Madhya Pradesh,FRESH,ChunabhattiBhopal,BHOPAL,9am-10pm
2238,Madhya Pradesh,FRESH,"Sarvadharma Colony,Kolar Road",BHOPAL,9am-10pm
2240,Madhya Pradesh,FRESH,Kohefiza,BHOPAL,9am-10pm
2715,Madhya Pradesh,FRESH,KanchanBagh,INDORE,9am-10pm
2861,Madhya Pradesh,FRESH,Kanthal,UJJAIN,9am-10pm
2960,Madhya Pradesh,FRESH,RF Exotica Shalimar,INDORE,9am-10pm
3028,Madhya Pradesh,FRESH,Civil Lines,JABALPUR,9am-10pm
3029,Madhya Pradesh,FRESH,Gorakhpur,JABALPUR,9am-10pm
3041,Madhya Pradesh,FRESH,Madan Mahal,JABALPUR,9am-10pm
3042,Madhya Pradesh,FRESH,Damoh Naka,JABALPUR,9am-10pm
3089,Madhya Pradesh,FRESH,KalaniNagar,INDORE,9am-10pm
2193,Maharashtra,FRESH,MontVert-PashanRd,PUNE,9am-10pm
2199,Maharashtra,FRESH,GeetaiCplex-PaudRd,PUNE,9am-10pm
2202,Maharashtra,FRESH,MantraMallW'wadi,PUNE,9am-10pm
2416,Maharashtra,FRESH,Nandanwan,NAGPUR,9am-10pm
2419,Maharashtra,FRESH,Shewalkar Garden,NAGPUR,9am-10pm
2691,Maharashtra,FRESH,AstralCrt-GkwdNg,PUNE,9am-10pm
2694,Maharashtra,FRESH,Royal Rtrt-Au Kdk Rd,PUNE,9am-10pm
2770,Maharashtra,FRESH,Manish nagar,NAGPUR,9am-10pm
2790,Maharashtra,FRESH,BT Gawde,PUNE,9am-10pm
2880,Maharashtra,FRESH,Sh.KrpaHt-DattaNgr,PUNE,9am-10pm
2888,Maharashtra,FRESH,Kalyani Nagar,PUNE,9am-10pm
2944,Maharashtra,FRESH,"RF Icon Imperio, Wagholi",PUNE,9am-10pm
2979,Maharashtra,FRESH,Reliance Fresh - Fortune Plaza,PUNE,9am-10pm
3026,Maharashtra,FRESH,Vadgaon Sheri,PUNE,9am-10pm
6734,Maharashtra,FRESH,Imperial Mall,PUNE,9am-10pm
2181,Mumbai,FRESH,Sai Palace-Vashi,NAVI MUMBAI,9am-10pm
2183,Mumbai,FRESH,Mahadev - Thane,THANE,9am-10pm
2187,Mumbai,FRESH,Roopdarshan-Kkhairne,NAVI MUMBAI,9am-10pm
2268,Mumbai,FRESH,Galaxy-Sion,MUMBAI,9am-10pm
2276,Mumbai,FRESH,JaiBharat-Nerul,NAVI MUMBAI,9am-10pm
2278,Mumbai,FRESH,SpringAvenue-Kalyan,MUMBAI,9am-10pm
2672,Mumbai,FRESH,Dev Darshan,NAVI MUMBAI,9am-10pm
2726,Mumbai,FRESH,MunotResidenc-Panvel,NAVI MUMBAI,9am-10pm
2731,Mumbai,FRESH,Manu Krupa-Virar,MUMBAI,9am-10pm
2792,Mumbai,FRESH,TirupatiApt-WardenRd,MUMBAI,9am-10pm
2934,Mumbai,FRESH,RF Nagothane,RAIGAD,9am-10pm
